publish_date,headline_text,is_kashmir,is_pakistan
20010823,Pak militant groups' bank accounts frozen,False,True
20010824,Militants kill 7 policemen in J&K,True,False
20010824,Pak favours opening up trade with India,False,True
20010824,India not serious in resolving Kashmir issue: Hurriyat,True,False
20010824,Crackdown confined to 2 sectarian outfits: Pak,False,True
20010824,Pak not to ban militant groups,False,True
20010825,Giani Kewal for Indo-Pak unity,False,True
20010825,Govt alert against J&K militants: Dhumal,True,False
20010825,Cooperative polls completed in J&K,True,False
20010825,India rebuts Pak charge on J&K arrests,True,True
20010825,Pak media flays crackdown on jehadis,False,True
20010826,Beleaguered Hurriyat convenes meet,True,False
20010826,'Advani main hurdle to solving Kashmir issue',True,False
20010826,J&K Congress leader survives attempt on life,True,False
20010826,Infiltration bids foiled; 7 killed in J&K,True,False
20010826,Gujarat team to visit Pak for release of fishermen,False,True
20010827,Soldier from Mysore killed in Kashmir valley,True,False
20010827,Four ultras among nine killed in J&K,True,False
20010827,Militant among four killed in Kashmir,True,False
20010827,J&K minister Kitchloo dies,True,False
20010827,359 securitymen killed in J&K this year,True,False
20010827,'Nothing stops Pak from raising Kashmir at UN',True,True
20010827,Rifts erupt among Pak militant outfits,False,True
20010827,US to lift curbs on India; set example for Pak,False,True
20010828,Raw sugar production better way to enter Pak market,False,True
20010828,Four ultras among 9 killed in J&K,True,False
20010828,Two priests among 9 killed in J&K,True,False
20010828,Army plans 'surgical operations' against J&K militants,True,False
20010828,6 militants; Army jawan killed in Kashmir,True,False
20010828,Pak forces to keep watch on militants,False,True
20010828,Pak artist walks for Indo-Pak peace,False,True
20010829,Priests among 7 shot dead in Kashmir,True,False
20010829,No move to ban Hurriyat leaders' visit: Antony,True,False
20010829,Eight more Army men killed in J&K,True,False
20010829,India rejects Kashmir as core issue in Indo-Pak ties,True,True
20010829,Pak troops fortifying bunkers across borders,False,True
20010829,Pak troops fortifying bunkers on Jammu border,False,True
20010829,Hurriyat's impossible rider,True,False
20010829,3 intruders in Jammu and Kashmir,True,False
20010829,Hurriyat General council meets,True,False
20010829,Rift between Pak govt; judiciary over military courts,False,True
20010830,Friendship with Pak not at cost of Kashmir: Farooq,True,True
20010830,9 more Army men killed in J&K,True,False
20010830,Militancy in J&K in last phase: BJP,True,False
20010830,India denies reports of Jaswant's Pak visit,False,True
20010830,We challenge Kashmir's accession: Lone,True,False
20010830,Major; jawan injured in blast in Kashmir,True,False
20010830,Disinvesting Kashmir is not the answer,True,False
